coin,is_long,total_value,total_pnl,num_traders,direction,avg_value_per_trader
MANTA,False,52614.96,-3126.59,1,SHORT 📉,52614.96
MEME,True,51527.66,1902.82,1,LONG 📈,51527.66
ALGO,False,50292.13,413.20,1,SHORT 📉,50292.13
NOT,True,50181.27,-1827.62,1,LONG 📈,50181.27
STRK,True,49371.89,3478.72,1,LONG 📈,49371.89
IO,False,48370.47,1780.17,1,SHORT 📉,48370.47
FET,True,48090.20,-2642.94,1,LONG 📈,48090.20
DYM,False,48036.40,-2956.82,1,SHORT 📉,48036.40
IMX,False,45712.35,-935.92,1,SHORT 📉,45712.35
CFX,False,38605.77,-1030.72,1,SHORT 📉,38605.77
TRB,True,37630.50,895.86,1,LONG 📈,37630.50
INJ,True,35659.05,1278.26,1,LONG 📈,35659.05
NEO,True,33795.99,973.93,1,LONG 📈,33795.99
BLUR,True,33499.43,788.83,1,LONG 📈,33499.43
USTC,True,32364.10,2408.18,1,LONG 📈,32364.10
ZEN,False,32117.52,-734.38,1,SHORT 📉,32117.52
MAVIA,True,30241.61,1107.93,1,LONG 📈,30241.61
ZETA,False,30187.41,-1032.69,1,SHORT 📉,30187.41
OMNI,False,29971.44,-138.41,1,SHORT 📉,29971.44
GMT,True,28999.96,-24819.08,1,LONG 📈,28999.96
ORDI,False,27977.46,90758.50,1,SHORT 📉,27977.46
RENDER,True,27575.45,3806.59,1,LONG 📈,27575.45
MEW,True,27170.27,1200.66,1,LONG 📈,27170.27
CATI,False,27047.11,-458.15,1,SHORT 📉,27047.11
FXS,False,25011.48,-1785.92,1,SHORT 📉,25011.48
